Country Name,"Life expectancy at birth, female (years) - 2019","Life expectancy at birth, male (years) - 2019","Mortality caused by road traffic injury (per 100,000 population) - 2019","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%) - 2019","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%) - 2019","Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population) - 2019","Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population) - 2019","Mortality rate attributed to unintentional poisoning, female (per 100,000 female population) - 2019","Mortality rate attributed to unintentional poisoning, male (per 100,000 male population) - 2019","Mortality rate, adult, female (per 1,000 female adults) - 2019","Mortality rate, adult, male (per 1,000 male adults) - 2019","Mortality rate, infant, female (per 1,000 live births) - 2019","Mortality rate, infant, male (per 1,000 live births) - 2019","Mortality rate, neonatal (per 1,000 live births) - 2019","Mortality rate, under-5, female (per 1,000 live births) - 2019","Mortality rate, under-5, male (per 1,000 live births) - 2019","Number of infant deaths - 2019","Number of neonatal deaths - 2019","Suicide mortality rate, female (per 100,000 female population) - 2019","Suicide mortality rate, male (per 100,000 male population) - 2019","Survival to age 65, female (% of cohort) - 2019","Survival to age 65, male (% of cohort) - 2019"
Netherlands,"83.7","80.6","4","8.7","11.2","11.1","15.5","0.091","0.067","45.049","62.374","3.2","3.8","2.6","3.6","4.4","596","450","7.5","14.66","92.255696","89.6036"
New Caledonia,"80.498","74.154","NA","NA","NA","NA","NA","NA","NA","67.534","148.292","NA","NA","NA","NA","NA","NA","NA","NA","NA","88.908362","78.660376"
New Zealand,"83.9","80.3","9.6","8.6","12.2","10","14.7","0.13","0.27","50.809","82.524","4","4.6","2.9","4.7","5.5","251","173","6.14","17.57","91.86562","87.59534"
Nicaragua,"76.416","71.016","16.9","12.4","13.4","74.3","97.9","0.12","0.4","100.585","181.818","10.7","13.5","9.6","14","17.4","1637","1301","2.08","7.31","82.797628","72.971254"
Niger,"60.947","59.129","25.5","21.3","19.9","202.1","225.7","1.07","2.08","199.47","238.433","64.5","74.3","34.9","118.1","125.2","67912","34680","2.98","6.07","63.172691","58.178056"
Nigeria,"53.24","52.769","20.7","16.2","18.1","162.9","167.2","0.95","1.02","356.052","368.64","60.4","71.5","35.8","111.6","122.8","476500","260351","1.39","7.36","46.718417","45.32593"
North Macedonia,"78.6","74.7","5.1","15.8","22.9","78.7","114.9","0.29","0.96","61.748","112.669","5.7","6.5","4.4","6.6","7.4","133","92","2.71","7.44","88.820051","80.802071"
Northern Mariana Islands,"79.817","76.173","NA","NA","NA","NA","NA","NA","NA","67.173","96.739","NA","NA","NA","NA","NA","NA","NA","NA","NA","88.804921","83.820829"
Norway,"84.7","81.3","2.1","6.9","9.7","6.4","9.4","0.15","0.37","37.433","60.834","1.8","2.2","1.4","2.2","2.6","108","76","7.45","17.61","93.718957","90.132612"
Oman,"81.873","78.434","10.6","15.8","23.4","94.1","113.2","0.035","0.085","43.54","63.264","7.9","9.6","4.9","9.8","11.8","764","425","0.34","2.95","91.925534","88.467135"
Pakistan,"69.2","64.493","13","25.1","27.5","157.5","225.1","0.11","0.15","136.367","206.59","51.3","62","41.4","61.6","71.4","375684","276932","3.35","8.72","74.655715","64.70703"
Palau,"72.041","66.455","NA","NA","NA","NA","NA","NA","NA","155.842","240.973","17.7","21.9","12.4","20.9","25.7","4","3","NA","NA","76.135868","63.926665"
Panama,"81.567","75.528","13.9","9.4","12.9","22.5","32.7","0.14","0.2","69.555","124.04","11.6","13.7","7.5","14.6","17.2","960","559","0.44","4.66","88.141757","81.397219"
Papua New Guinea,"68.43","62.9","12.6","30.1","31.2","167.7","212.5","0.075","0.92","179.016","275.25","33","39","22.3","42.2","49.3","9103","5679","1.68","2.44","71.215918","58.317163"
Paraguay,"76.796","70.73","22","13.6","19.5","43.1","68.9","0.2","0.39","95.987","181.491","15.5","18.8","10.3","17.5","21.3","2397","1443","4.07","11.74","83.694026","72.265798"
Peru,"78.576","74.106","13.6","10.6","10.8","35.9","39.9","0.34","1.08","99.418","143.468","12.8","15.6","8.2","15.1","18.4","7717","4471","1.4","2.99","84.252999","78.503272"
Philippines,"72.702","66.66","12","19.2","31.6","166.2","250.8","0.16","0.29","134.533","231.544","20.2","25.2","14.3","25","30.8","46743","28704","1.31","4.78","78.264542","64.970919"
Poland,"81.9","74.1","9.4","11.8","24","30.9","53.9","0.54","1.84","60.142","157.011","3.5","4.1","2.7","4","4.8","1477","1052","3.56","24.46","89.784958","76.207328"
Portugal,"84.8","78.7","8.2","7","15.8","7.4","13.2","0.25","0.4","43.935","95.705","2.5","3.1","1.9","3.1","3.8","240","161","6.32","19.68","93.160381","84.879505"
Puerto Rico (US),"85.14","77.66","NA","8","13.9","NA","NA","0.11","0.2","40.932","119.806","NA","NA","NA","NA","NA","NA","NA","1.66","10.23","92.720812","81.710212"
Qatar,"84.064","82.176","7.3","13.1","12.8","106.8","73.2","0.24","0.71","27.652","35.269","5.1","5.7","3.7","6.3","7","150","104","1.15","9.08","94.094408","93.624052"
Romania,"79.5","71.9","10.3","13.6","29.1","52.1","87.3","1.05","2.53","77.244","189.004","5","6.1","3.2","6.2","7.4","1124","623","2.52","16.25","87.235363","70.897484"
Russian Federation,"78.17","68.24","12","15.1","34.9","49.6","93.4","1.53","4.94","108.717","289.46","4.2","5.2","2.6","5.2","6.4","7331","3969","8.7","42.66","84.132901","61.011992"
Rwanda,"68.809","64.358","29.4","18.7","22.6","147.7","188.8","1.15","1.5","185.636","267.176","28.4","35.1","19","39.5","47.2","12377","7431","4.58","12.2","70.802439","60.586716"
Samoa,"72.195","68.469","13","30.1","33.8","134.5","155.4","0.073","0.61","160.302","204.381","13.5","16.4","7","18.5","21.9","88","41","7.62","18.09","75.922212","68.568"
San Marino,"86.787","83.586","NA","NA","NA","NA","NA","NA","NA","29.716","39.635","1.5","1.7","0.7","1.5","1.8","0","0","NA","NA","95.050776","93.423091"
Sao Tome and Principe,"71.865","64.778","27.9","19.5","21.6","216.6","236.7","0.034","0.72","170.297","298.248","10","12.5","8.2","15.3","18.7","70","51","0.44","1.3","74.942447","58.322479"
Saudi Arabia,"80.375","76.943","35.9","13.5","14.8","80.4","98.3","0.24","0.45","60.629","88.49","5.6","5.9","3.5","7.1","7.4","3311","1937","0.72","1.32","89.306848","85.637873"
Senegal,"69.574","65.859","23.5","21.8","23","140.4","154.1","0.58","1.18","149.901","211.564","30.4","39.3","26.2","41.4","51.2","17359","13007","3.12","10.77","75.161052","66.540404"
Serbia,"78.6","73.4","7.5","15.4","27.7","57.4","88","0.23","0.34","73.964","146.857","4.3","5.4","3.5","5.1","6.2","315","230","8.65","23.54","87.597978","76.038987"
Seychelles,"78.4","69.9","11.3","16.2","26.7","32","55.7","0.38","0.54","108.466","210.225","12.5","14.5","8.9","13.7","15.9","24","16","1.41","13.41","82.840919","68.754667"
Sierra Leone,"60.871","58.299","33","24.9","23.7","235.1","243.4","0.98","1.72","228.863","257.721","58.2","69.6","31.6","102.6","115.3","16020","8002","4.51","7.79","60.618043","55.675612"
Singapore,"85.9","81.4","2.1","6.4","10.8","16.8","30.5","0.0001","0.039","35.249","59.639","1.8","2.2","1","2.3","2.6","95","47","5.23","11.4","94.189504","90.147634"
Sint Maarten (Dutch part),"78.577","73.132","NA","NA","NA","NA","NA","NA","NA","68.438","117.102","NA","NA","NA","NA","NA","NA","NA","NA","NA","88.098701","79.557745"
Slovak Republic,"81.2","74.3","6.1","11","22.8","21.4","43.8","0.18","0.55","61.629","140.371","4.4","5.4","3","5.3","6.5","283","170","2.98","15.34","89.688048","77.519333"
Slovenia,"84.5","78.7","5.1","8","14.7","15.2","22.5","0.095","0.29","38.484","87.422","1.8","2.1","1.4","2.2","2.6","38","27","8.34","30.32","93.04073","85.739886"
Solomon Islands,"71.362","68.75","16.5","33.5","42.4","238.6","324.7","0.085","1.33","154.279","191.057","16.8","19.8","9.3","21","24.9","378","193","10.58","29.82","75.936738","70.030635"
"Somalia, Fed. Rep.","59.31","55.241","27.4","26.6","32.2","188.6","291","2.31","4.14","250.972","324.429","69.6","81.6","37.3","111.4","124.4","53373","26934","5.7","10.13","58.182362","50.224352"
South Africa,"69.216","62.696","22.2","19.4","24.6","61.7","92","1.41","1.77","234.54","342.77","23.5","27.6","11.5","31.7","37.1","29775","13440","8.36","32.65","67.134392","53.585548"
South Sudan,"60.474","55.734","36.7","18.8","25.7","117.3","154.2","1","1.95","249.611","336.056","66.7","78.2","40.4","93.3","104.4","21500","12358","3.38","11.24","59.430631","49.936025"
Spain,"86.7","81.1","3.9","6.4","12.9","7","13.9","0.26","0.54","35.754","69.622","2.4","2.9","1.8","2.9","3.5","961","660","4.04","12.3","94.07874","88.406242"
Sri Lanka,"79.888","73.424","19.7","11.9","19.7","70.6","119.2","0.085","0.3","60.443","142.664","5.5","6.9","4.8","6.4","8","2092","1607","6.44","26.06","89.716672","77.527244"
St. Kitts and Nevis,"75.476","68.017","NA","NA","NA","NA","NA","NA","NA","108.186","222.484","14.2","17.5","11.5","16.3","20","10","7","NA","NA","82.500456","66.744689"
St. Lucia,"76.089","68.744","29.8","13.1","19.5","21.3","34.5","0.12","0.23","95.186","204.491","13.6","16.4","10.9","15","18","32","23","1.21","13.33","84.016039","68.749968"
St. Martin (French part),"83.843","76.462","NA","NA","NA","NA","NA","NA","NA","37.082","82.186","NA","NA","NA","NA","NA","NA","NA","NA","NA","93.419785","85.231389"
St. Vincent and the Grenadines,"73.993","68.554","7.4","20.6","24.7","32","36.4","0.007","0.51","137.051","225.314","11","13.1","7.2","11.9","14.2","17","10","0","0.62","79.114202","67.179638"
Sudan,"68.642","63.205","26.8","21.7","23.1","135.4","156.1","1.09","1.74","165.885","246.676","38.9","48.9","27","51.4","62.4","68674","42878","2.56","4.24","72.444439","62.094016"
Suriname,"75.08","68.638","15.3","17.4","26.1","39.7","65.4","0.22","0.25","140.196","220.435","15","19.1","11.3","16.1","20.5","185","123","12.47","40.09","78.889188","67.027423"
Sweden,"84.8","81.5","3.1","7","9.5","6.5","9.8","0.14","0.23","37.733","58.136","2","2.3","1.5","2.4","2.9","246","166","9.8","19.34","93.636601","90.56354"
Switzerland,"85.8","82.1","2.2","6.2","9.6","8.3","12.8","0.024","0.17","32.207","54.626","3.2","3.8","2.8","3.7","4.4","305","242","9.3","19.23","94.329486","90.810427"
Syrian Arab Republic,"74.253","67.833","14.9","18.3","26","87.7","100.7","0.27","0.3","107.738","208.12","19.3","23.6","10.9","22.7","27.1","8280","4345","0.27","0.97","81.724759","69.009376"
Tajikistan,"73.182","68.73","15.7","18","20.9","179.4","232.2","0.41","1.46","112.326","169.895","20.1","26.3","14.4","24.5","31.5","6405","4001","1.49","3.78","80.126784","71.153228"
Tanzania,"68.916","63.141","31.1","17.5","19.7","113.8","146.8","1.01","1.17","204.702","294.104","31.2","38.1","22.7","41.7","50.1","74736","49439","2.44","6.56","68.461364","57.409023"
Thailand,"81.763","72.849","32.2","10.5","18.4","35.5","59.9","0.13","0.51","86.995","207.606","8.1","10","5.8","9.3","11.5","5961","3780","4.35","23.14","87.259511","72.351186"
Timor-Leste,"68.285","64.846","11.9","19.8","22.1","171.6","200.8","0.21","0.44","170.357","218.672","35.7","43.7","23.8","51","59.8","1232","738","2.53","5.06","71.681509","64.300458"
Togo,"61.204","60.887","28.7","22.9","29.4","180.9","271.9","0.77","1.59","260.027","272.445","36.1","44.2","24.9","61.4","71","11074","6930","4.05","15.44","60.055375","57.957213"
Tonga,"75.965","68.85","33","22.2","30","36.8","70","0.75","1.75","115.787","220.03","7.9","9.7","4.8","9.8","12.2","22","12","3.45","5.92","82.21076","67.743357"
Trinidad and Tobago,"76.034","69.732","9.3","16.7","24.4","14.4","26.2","0.14","0.092","111.356","193.65","17.1","20.8","14.2","19.1","22.9","338","255","4.54","23.14","82.612503","71.361718"
Tunisia,"78.259","73.038","16.5","11.5","18.8","45.4","68.5","0.35","0.72","60.811","121.311","13.2","15.5","11.1","15.6","18","2899","2216","1.42","3.76","88.775682","79.657884"
Turkiye,"80.89","74.678","6.7","11.1","22.1","37.2","55.1","0.26","0.56","47.84","108.758","8.4","9.7","5.6","10.2","11.7","12016","7269","1.47","5.6","91.068643","80.930447"
Turkmenistan,"72.309","66.105","13.5","21.9","32.3","74.3","105.7","0.24","0.4","113.669","214.666","28.6","38.6","24.3","37.5","48.8","5687","4101","3.59","10.36","79.291777","65.295003"
Turks and Caicos Islands,"79.966","75.556","NA","NA","NA","NA","NA","NA","NA","74.984","111.603","4.2","4.7","3.3","5.6","6.9","2","2","NA","NA","88.09795","82.076602"
Tuvalu,"69.735","62.865","NA","NA","NA","NA","NA","NA","NA","201.33","327.385","17","21.8","10.3","20.1","25.2","5","3","NA","NA","70.978807","54.546677"
Uganda,"69.13","63.475","29.4","18.6","25.6","135.4","201.1","0.94","1.28","217.824","300.936","28.2","35.1","19.7","40.5","50","49940","31419","2.01","8.33","67.111064","56.701315"
Ukraine,"78.73","68.866","10.2","15.6","36.5","59.1","109.2","0.97","3.6","90.459","249.581","7.4","9.1","5","7.6","9.3","2970","1768","7.12","41.82","86.119178","64.873096"
United Arab Emirates,"84.047","81.588","8.9","6.8","9.8","50.3","78.8","0.056","0.28","18.895","39.807","4.5","5.5","3.3","5.7","6.9","474","312","0.59","3.49","95.993196","93.06419"
United Kingdom,"83.275","79.554","3.2","8.8","12.7","10.5","16.8","0.23","0.35","53.185","85.187","3.5","4.2","2.8","4","4.8","2778","1968","4.49","14.46","91.361522","86.911155"
United States,"81.4","76.3","12.7","10.6","15.8","11.3","17.5","0.34","0.69","79.455","136.839","5","6","3.7","5.9","7.1","20934","14046","6.66","23.46","87.818219","80.09489"
Uruguay,"81.293","73.58","14.8","12.7","20.9","11.5","22.8","0.42","0.52","77.197","145.596","5.5","6.9","4.8","6.6","8.2","237","179","9.07","38.62","87.394223","77.611525"
Uzbekistan,"75.374","68.924","11.7","22.3","31.6","129.7","179.4","0.5","0.92","116.372","207.918","12.8","16.7","8.9","13.5","17.6","11766","7213","7.33","12.91","81.536681","68.318896"
Vanuatu,"73.292","68.848","14.9","29.8","43.6","216.3","301.8","0.079","1.05","137.483","197.843","13.9","15.9","9.9","16.6","19","133","89","6.96","25.1","78.525497","69.341576"
"Venezuela, RB","76.677","69.025","39","14.5","21.6","30.3","47.3","0.18","0.45","106.11","210.409","19.6","23.3","15","22.2","26.3","10563","7102","1.78","12.67","83.41981","70.664983"
Viet Nam,"78.972","69.414","30.6","13.6","28.7","71.6","147.5","0.17","1.71","75.669","186.788","12.8","16.8","10.8","17.2","25","22226","16303","4.47","10.73","87.229146","71.880452"
Virgin Islands (U.S.),"83.1","76.4","NA","NA","NA","NA","NA","NA","NA","56.024","187.207","NA","NA","NA","NA","NA","NA","NA","NA","NA","90.703575","71.587867"
West Bank and Gaza,"78.092","73.612","NA","14.9","22.1","NA","NA","0.1","0.2","72.113","112.504","12.5","14.7","9.7","14.4","17","2010","1436","0.27","1.05","87.483836","80.403989"
"Yemen, Rep.","70.061","63.337","29.4","23.8","29.1","166.8","208.9","0.91","1.61","147.076","267.757","35.1","42.3","23","42","49.7","47984","28939","3.23","5.4","74.977681","60.833747"
Zambia,"65.44","60.349","20.5","20.4","26.7","141.5","217.9","1","1.21","215.69","313.438","32.3","39","23.6","49.4","58.6","22832","15270","2.12","9.48","66.220287","54.750153"
Zimbabwe,"63.049","58.83","41.2","32.6","32.8","164.2","225.1","2.36","4.05","313.598","389.287","41","50.7","24.4","45.6","56.3","21577","11599","10.55","21.7","56.835005","47.83632"
,"","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","",""
Data from database: World Development Indicators,"","","","","","","","","","","","","","","","","","","","","",""
Last Updated: 10/07/2025,"","","","","","","","","","","","","","","","","","","","","",""
Code,"License Type","Indicator Name","Short definition","Long definition","Source","Topic","Dataset","Unit of measure","Periodicity","Reference period","Aggregation method","Statistical concept and methodology","Development relevance","Limitations and exceptions","Other notes","License URL"
SP.DYN.LE00.FE.IN,"CC BY-4.0","Life expectancy at birth, female (years)","Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.","Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.","World Population Prospects, United Nations (UN), publisher: UN Population Division;
Statistical databases and publications from national statistical offices, National statistical offices;
Demographic Statistics, Eurostat (ESTAT)","Health: Mortality","WDI","Years","Annual","1960-2023","Weighted average","Methodology: Life expectancy at birth is derived from life tables and is based on sex- and age-specific death rates.
Statistical concept(s): Life expectancy at birth used here is the average number of years a newborn is expected to live if mortality patterns at the time of its birth remain constant in the future. It reflects the overall mortality level of a population, and summarizes the mortality pattern that prevails across all age groups in a given year. It is calculated in a period life table which provides a snapshot of a population's mortality pattern at a given time. It therefore does not reflect the mortality pattern that a person actually experiences during his/her life, which can be calculated in a cohort life table.



High mortality in young age groups significantly lowers the life expectancy at birth. But if a person survives his/her childhood of high mortality, he/she may live much longer. For example, in a population with a life expectancy at birth of 50, there may be few people dying at age 50. The life expectancy at birth may be low due to the high childhood mortality so that once a person survives his/her childhood, he/she may live much longer than 50 years.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. And they are among the indicators most frequently used to compare socioeconomic development across countries.","Annual data series from United Nations Population Division's World Population Prospects are interpolated data from 5-year period data. Therefore they may not reflect real events as much as observed data.","","https://datacatalog.worldbank.org/public-licenses#cc-by"
SP.DYN.LE00.MA.IN,"CC BY-4.0","Life expectancy at birth, male (years)","Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.","Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.","World Population Prospects, United Nations (UN), publisher: UN Population Division;
Statistical databases and publications from national statistical offices, National statistical offices;
Demographic Statistics, Eurostat (ESTAT)","Health: Mortality","WDI","Years","Annual","1960-2023","Weighted average","Methodology: Life expectancy at birth is derived from life tables and is based on sex- and age-specific death rates.
Statistical concept(s): Life expectancy at birth used here is the average number of years a newborn is expected to live if mortality patterns at the time of its birth remain constant in the future. It reflects the overall mortality level of a population, and summarizes the mortality pattern that prevails across all age groups in a given year. It is calculated in a period life table which provides a snapshot of a population's mortality pattern at a given time. It therefore does not reflect the mortality pattern that a person actually experiences during his/her life, which can be calculated in a cohort life table.



High mortality in young age groups significantly lowers the life expectancy at birth. But if a person survives his/her childhood of high mortality, he/she may live much longer. For example, in a population with a life expectancy at birth of 50, there may be few people dying at age 50. The life expectancy at birth may be low due to the high childhood mortality so that once a person survives his/her childhood, he/she may live much longer than 50 years.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. And they are among the indicators most frequently used to compare socioeconomic development across countries.","Annual data series from United Nations Population Division's World Population Prospects are interpolated data from 5-year period data. Therefore they may not reflect real events as much as observed data.","","https://datacatalog.worldbank.org/public-licenses#cc-by"
SH.STA.TRAF.P5,"CC BY-4.0","Mortality caused by road traffic injury (per 100,000 population)","Mortality caused by road traffic injury is estimated road traffic fatal injury deaths per 100,000 population.","Mortality caused by road traffic injury is estimated road traffic fatal injury deaths per 100,000 population.","World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/)., World Health Organization (WHO), uri: https://www.who.int/data/gho","Health: Mortality","WDI","Per 100,000 population","Annual","2000-2019","Weighted average","Methodology: The methods used for analyzing causes of death vary based on the type of data available from different countries. For countries with high-quality vital registration systems that include information on cause of death, the data submitted by member states to the WHO Mortality Database is utilized, with necessary adjustments made for factors such as under-reporting of deaths, unknown age and sex, and ill-defined causes of death. In contrast, for countries lacking high-quality death registration data, cause of death estimates are derived using alternative sources, including household surveys with verbal autopsy, sample or sentinel registration systems, and special studies.","Road traffic injuries and deaths is a major global public health problem. Road traffic crashes are currently the leading cause of death for children and young adults in the world.  There is a strong association between the risk of road traffic death and the income level of countries.  The burden of road traffic deaths is disproportionately high among low- and middle-income countries.","","This is the Sustainable Development Goal indicator 3.6.1 [https://unstats.un.org/sdgs/metadata/].","https://datacatalog.worldbank.org/public-licenses#cc-by"
SH.DYN.NCOM.FE.ZS,"CC BY-4.0","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)","Mortality from CVD, cancer, diabetes or CRD is the percent of 30-year-old-people who would die before their 70th birthday from any of cardiovascular disease, cancer, diabetes,  or chronic respiratory disease, assuming that s/he would experience current mortality rates at every age and s/he would not die from any other cause of death (e.g., injuries or HIV/AIDS).","Mortality from CVD, cancer, diabetes or CRD is the percent of 30-year-old-people who would die before their 70th birthday from any of cardiovascular disease, cancer, diabetes,  or chronic respiratory disease, assuming that s/he would experience current mortality rates at every age and s/he would not die from any other cause of death (e.g., injuries or HIV/AIDS).","World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/)., World Health Organization (WHO), uri: https://www.who.int/data/gho","Health: Mortality","WDI","Percent of females ages 30 years old","Annual","2000-2021","Weighted average","Methodology: The probability of death between the exact ages of 30 and 70 is calculated using cause-specific mortality rates for each 5-year age group, applying standard life table methods. The estimates are derived from the WHO Global Health Estimates (GHE). These estimates represent WHO's best calculations, using standard categories, definitions, and methods to ensure cross-country comparability. They may not align with official national estimates.","","Due to changes in input data and methods, the revisions of the data are not comparable to previously published estimates.


The current estimates for 2020 and 2021 are likely underestimated in countries where high-quality vital registration data was lacking at the time of GHE2021 production. This is because the modeled estimates cannot fully account for deaths from the four major NCDs indirectly attributed to the COVID-19 pandemic. Therefore, the data for 2020 and 2021 should be interpreted with caution.","This is a sex-disaggregated indicator for Sustainable Development Goal 3.4.1 [https://unstats.un.org/sdgs/metadata/].","https://datacatalog.worldbank.org/public-licenses#cc-by"
SH.DYN.NCOM.MA.ZS,"CC BY-4.0","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)","Mortality from CVD, cancer, diabetes or CRD is the percent of 30-year-old-people who would die before their 70th birthday from any of cardiovascular disease, cancer, diabetes,  or chronic respiratory disease, assuming that s/he would experience current mortality rates at every age and s/he would not die from any other cause of death (e.g., injuries or HIV/AIDS).","Mortality from CVD, cancer, diabetes or CRD is the percent of 30-year-old-people who would die before their 70th birthday from any of cardiovascular disease, cancer, diabetes,  or chronic respiratory disease, assuming that s/he would experience current mortality rates at every age and s/he would not die from any other cause of death (e.g., injuries or HIV/AIDS).","World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/)., World Health Organization (WHO), uri: https://www.who.int/data/gho","Health: Mortality","WDI","Percent of males ages 30 years old","Annual","2000-2021","Weighted average","Methodology: The probability of death between the exact ages of 30 and 70 is calculated using cause-specific mortality rates for each 5-year age group, applying standard life table methods. The estimates are derived from the WHO Global Health Estimates (GHE). These estimates represent WHO's best calculations, using standard categories, definitions, and methods to ensure cross-country comparability. They may not align with official national estimates.","","Due to changes in input data and methods, the revisions of the data are not comparable to previously published estimates.","This is a sex-disaggregated indicator for Sustainable Development Goal 3.4.1 [https://unstats.un.org/sdgs/metadata/].","https://datacatalog.worldbank.org/public-licenses#cc-by"
SH.STA.AIRP.FE.P5,"CC BY-4.0","Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)","Mortality rate attributed to household and ambient air pollution is the number of deaths attributable to the joint effects of household and ambient air pollution in a year per 100,000 population. The rates are age-standardized.  Following diseases are taken into account: acute respiratory infections (estimated for all ages); cerebrovascular diseases in adults (estimated above 25 years); ischaemic heart diseases in adults (estimated above 25 years); chronic obstructive pulmonary disease in adults (estimated above 25 years); and lung cancer in adults (estimated above 25 years).","Mortality rate attributed to household and ambient air pollution is the number of deaths attributable to the joint effects of household and ambient air pollution in a year per 100,000 population. The rates are age-standardized.  Following diseases are taken into account: acute respiratory infections (estimated for all ages); cerebrovascular diseases in adults (estimated above 25 years); ischaemic heart diseases in adults (estimated above 25 years); chronic obstructive pulmonary disease in adults (estimated above 25 years); and lung cancer in adults (estimated above 25 years).","Global Health Observatory Data Repository, World Health Organization (WHO), uri: https://www.who.int/data/gho","Health: Mortality","WDI","","Annual","2019-2019","Weighted average","Methodology: Burden of disease (or in the present case attributable mortality) is calculated by first combining information on the increased (or relative) risk of a disease resulting from exposure, with information on how widespread the exposure is in the population (e.g.  the annual mean concentration of particulate matter to which the population is exposed). This allows calculation of the 'population attributable fraction' (PAF), which is the fraction of disease seen in a given population that can be attributed  to the exposure (e.g in this case the annual mean concentration of particulate matter). Applying this fraction to the total burden of disease (e.g. cardiopulmonary disease expressed as deaths or DALYs), gives the total number of deaths or DALYs that results from exposure to that particular risk factor (in the example given above, to ambient air pollution). To estimate the combined effects of risk factors, a joint population attributable fraction is calculated, as described in Ezzati et al (2003).","Air pollution is one of the biggest environmental risks to health.  According to the World Health Organization, the combined effects of ambient (outdoor) and household air pollution cause about 7 million premature deaths every year.  Most deaths occur due to increased mortality from stroke, heart disease, chronic obstructive pulmonary disease, lung cancer and acute respiratory infections.  The majority of the burden is borne by populations in low and middle income countries.","Estimates of the joint effects of air pollution are constrained by limited knowledge on the distribution of the population exposed to both household and ambient air pollution, correlation of exposures at individual level as household air pollution is a contributor to ambient air pollution, and non-linear interactions","This is a sex-disaggregated indicator for Sustainable Development Goal 3.9.1 [https://unstats.un.org/sdgs/metadata/].","https://datacatalog.worldbank.org/public-licenses#cc-by"
